split,feature,feature_group,num_rows,raw_missing_rate,raw_mean,raw_std,raw_min,raw_max,normalized_mean,normalized_std,normalized_min,normalized_max
test,funding_rate_mean_7,bitmex_funding,1441,0.0,6.227940253130865e-05,0.00016612543611488302,-0.0007459047619047379,0.0010225238095237716,0.07723115576319545,0.5574781779258843,-2.634846211526837,3.2995871952289724
test,funding_rate_sum_7,bitmex_funding,1441,0.0,0.0013078674531575441,0.003488634158412781,-0.015663999999999796,0.021472999999999902,0.0772311557631992,0.5574781779258914,-2.6348462115267455,3.299587195228905
test,funding_rate_abs_mean_7,bitmex_funding,1441,0.0,0.00014208000396548798,0.0001295628989222327,4.0666666666666716e-05,0.001022523809523786,-0.452047746315918,0.559587975024864,-0.7392559920335657,3.3804174195194436
test,funding_rate_min_7,bitmex_funding,1441,0.0,-0.00019165371269951422,0.00037247466806509,-0.002525,0.000391,0.3613610988443495,0.6089045474322934,-3.4551716181724323,0.8441693631213614
test,funding_rate_max_7,bitmex_funding,1441,0.0,0.00025898265093684945,0.0003987323272794274,7e-06,0.002997,-0.2710261643804628,0.5945987283478693,-0.6467884328553166,3.811967670243965
test,funding_rate_mean_20,bitmex_funding,1441,0.0,6.25295049733958e-05,0.0001426403597152882,-0.00026839999999998327,0.0007352333333333,0.11841733028251546,0.5457097869652762,-1.1476441828825505,2.692030181496206
test,funding_rate_sum_20,bitmex_funding,1441,0.0,0.0037517702984039164,0.00855842158291791,-0.016103999999999598,0.0441139999999997,0.11841733028251727,0.5457097869652869,-1.147644182882528,2.692030181496163
test,funding_rate_abs_mean_20,bitmex_funding,1441,0.0,0.00014233010640757516,0.00010482678325605556,5.5033333333333334e-05,0.00073523333333331,-0.5859801931479987,0.5690584000401372,-0.909461412712041,2.6858127174897453
test,funding_rate_min_20,bitmex_funding,1441,0.0,-0.00035131575294934073,0.0005324317065037545,-0.002525,0.0001,0.4796219354483936,0.6622009287455384,-2.223852913276371,1.0409365737576746
test,funding_rate_max_20,bitmex_funding,1441,0.0,0.00035807564191533655,0.0005318558245902962,7.8e-05,0.002997,-0.39883811527636603,0.6025978960406565,-0.6913166962921962,2.5911812734128046
test,funding_rate_mean_60,bitmex_funding,1441,0.0,6.275650011565807e-05,0.00012258986719844355,-0.00013173333333331444,0.0004948722222221872,0.24400929036239383,0.7101738110243537,-0.8923195172884789,2.4257579933544005
test,funding_rate_sum_60,bitmex_funding,1441,0.0,0.011296170020818957,0.022066176095721535,-0.0237119999999993,0.0890769999999994,0.2440092903623935,0.7101738110243664,-0.8923195172885185,2.4257579933543636
test,funding_rate_abs_mean_60,bitmex_funding,1441,0.0,0.00014256368648313996,8.638466582464344e-05,6.673333333333333e-05,0.0005022722222221894,-0.8133073418795794,0.5960771724728517,-1.1620220734552174,1.7429526571028653
test,funding_rate_min_60,bitmex_funding,1441,0.0,-0.0007071748785565578,0.0007489374856038019,-0.002525,0.0001,0.5850366829553064,0.678402437146666,-1.0631649810260988,1.226898159222681
test,funding_rate_max_60,bitmex_funding,1441,0.0,0.0005396911866759195,0.0007166888217074272,0.0001,0.002997,-0.6827988181794525,0.6737772387034973,-1.0961635933338731,1.627379179209812
train,funding_rate_mean_7,bitmex_funding,671,0.0,3.7354197714853355e-05,0.00032369904394205165,-0.001781476190476157,0.0014973333333333,0.0,0.9999999999999998,-3.1875089989696543,3.7838402850270763
train,funding_rate_sum_7,bitmex_funding,671,0.0,0.0007844381520119373,0.006797679922783405,-0.037411,0.031444,0.0,1.0,-3.1875089989696135,3.7838402850269826
train,funding_rate_abs_mean_7,bitmex_funding,671,0.0,0.00025037229437227553,0.00024157266031033252,6.347619047619048e-05,0.0018005238095237855,0.0,0.9999999999999987,-0.7392559920335657,4.709778798173359
train,funding_rate_min_7,bitmex_funding,671,0.0,-0.0004185767511177348,0.0006392911636713865,-0.00375,0.000153,1.058931051803428e-16,0.9999999999999969,-3.7741502322394296,0.8441693631213614
train,funding_rate_max_7,bitmex_funding,671,0.0,0.00044017883755588673,0.0006709806806677423,-8.1e-05,0.00375,-4.235724207213712e-17,0.9999999999999928,-0.6602094378479231,4.934858421292044
train,funding_rate_mean_20,bitmex_funding,671,0.0,3.147513661202189e-05,0.0002639786484633676,-0.0008214833333333015,0.0008561666666666433,3.176793155410284e-17,1.0000000000000009,-2.885610442930441,2.8757629803430036
train,funding_rate_sum_20,bitmex_funding,671,0.0,0.0018885081967213507,0.015838718907802887,-0.049288999999999895,0.05137,4.235724207213712e-17,0.9999999999999993,-2.8856104429304064,2.875762980342971
train,funding_rate_abs_mean_20,bitmex_funding,671,0.0,0.00025190638350718416,0.00018088118621710202,8.2749999999995e-05,0.0008602166666666451,-4.235724207213712e-17,1.0,-0.909461412712041,3.1605133542239625
train,funding_rate_min_20,bitmex_funding,671,0.0,-0.0007369478390461998,0.0008040334638496789,-0.00375,0.0001,8.471448414427424e-17,0.9999999999999983,-3.7474213405589256,1.0409365737576746
train,funding_rate_max_20,bitmex_funding,671,0.0,0.0007101281669150522,0.0008825595710148618,0.0001,0.00375,4.235724207213712e-17,0.999999999999994,-0.6913166962921962,3.4443814705781013
train,funding_rate_mean_60,bitmex_funding,671,0.0,2.0602699122371635e-05,0.00017166310555068363,-0.00043603888888886223,0.00045944444444441886,0.0,1.0,-2.4063318581425164,2.4257579933544005
train,funding_rate_sum_60,bitmex_funding,671,0.0,0.0037084858420269626,0.030899358999124812,-0.0784869999999994,0.08269999999999951,-2.117862103606856e-17,1.0000000000000009,-2.4063318581425173,2.4257579933543636
train,funding_rate_abs_mean_60,bitmex_funding,671,0.0,0.00026151018380524615,0.0001392859036743393,9.716111111110443e-05,0.0006920999999999695,-1.6942896828854848e-16,1.0000000000000007,-1.1620220734552174,2.611171491925953
train,funding_rate_min_60,bitmex_funding,671,0.0,-0.0013524769001490315,0.001103110202254903,-0.00375,0.0001,0.0,1.0000000000000029,-2.1746258949741,1.226898159222681
train,funding_rate_max_60,bitmex_funding,671,0.0,0.0012659761549925483,0.0010636880864163232,0.0001,0.00375,0.0,1.0000000000000004,-1.0961635933338731,2.335293472521995
validation,funding_rate_mean_7,bitmex_funding,287,0.0,1.53821138211386e-05,0.00030761991703911714,-0.0016650952380952097,0.0013957619047618712,-0.064859448332278,0.9472321113535977,-3.1875089989696543,3.7838402850270763
validation,funding_rate_sum_7,bitmex_funding,287,0.0,0.00032302439024392045,0.006460018257821792,-0.034967,0.029311,-0.06485944833227571,0.9472321113536053,-3.1875089989696135,3.7838402850269826
validation,funding_rate_abs_mean_7,bitmex_funding,287,0.0,0.00024080438028868092,0.0002261440106256381,8.066666666666191e-05,0.0017082380952380763,-0.03933539028766191,0.9440810067848613,-0.7306302537030768,4.709778798173359
validation,funding_rate_min_7,bitmex_funding,287,0.0,-0.00042230662020905925,0.0006730030028703806,-0.00375,0.0001,0.007870873685144827,0.9976592778792,-3.7741502322394296,0.8387712634986899
validation,funding_rate_max_7,bitmex_funding,287,0.0,0.00039858885017421603,0.0006212090310226602,-8.1e-05,0.00375,-0.06215636171396866,0.925880551595795,-0.6602094378479231,4.934858421292044
validation,funding_rate_mean_20,bitmex_funding,287,0.0,2.7390534262485703e-05,0.00023746886847417277,-0.0008160999999999683,0.0008493499999999733,-0.01627734897858736,0.8973511919277255,-2.885610442930441,2.8757629803430036
validation,funding_rate_sum_20,bitmex_funding,287,0.0,0.0016434320557491776,0.014248132108451158,-0.0489659999999999,0.050961,-0.01627734897858643,0.8973511919277282,-2.8856104429304064,2.875762980342971
validation,funding_rate_abs_mean_20,bitmex_funding,287,0.0,0.00024034512195119978,0.00016694973524781408,8.526666666666166e-05,0.00085394999999997,-0.06448240322956122,0.9211250741327921,-0.909461412712041,3.1605133542239625
validation,funding_rate_min_20,bitmex_funding,287,0.0,-0.0007352229965156794,0.0007732777598163292,-0.00375,0.0001,0.0021452372420692665,0.9617482288783195,-3.7474213405589256,1.0409365737576746
validation,funding_rate_max_20,bitmex_funding,287,0.0,0.0006737595818815331,0.0008486145019154154,0.0001,0.00375,-0.04120807957665513,0.9615379287537354,-0.6913166962921962,3.4443814705781013
validation,funding_rate_mean_60,bitmex_funding,287,0.0,1.5307801006582194e-05,0.0001641984762448792,-0.00039925555555552834,0.00045944444444441886,-0.03196318406603447,0.9580812524893667,-2.4063318581425164,2.4257579933544005
validation,funding_rate_sum_60,bitmex_funding,287,0.0,0.002755404181184825,0.029555725724080065,-0.0718659999999994,0.0826999999999995,-0.03196318406603383,0.9580812524893701,-2.4063318581425173,2.4257579933543636
validation,funding_rate_abs_mean_60,bitmex_funding,287,0.0,0.000248339198606252,0.0001308840915834901,9.716111111110445e-05,0.000680566666666636,-0.09442698402190305,0.9407311848873343,-1.1620220734552174,2.611171491925953
validation,funding_rate_min_60,bitmex_funding,287,0.0,-0.0012942369337979093,0.0010412358810040342,-0.00375,0.0001,0.052886251479969754,0.9439042664083518,-2.1746258949741,1.226898159222681
validation,funding_rate_max_60,bitmex_funding,287,0.0,0.0011761811846689894,0.0010412059220203103,0.0001,0.00375,-0.08441851654660108,0.9788639501719363,-1.0961635933338731,2.335293472521995
