image_window,return_horizon,image_spec,accuracy_mean,accuracy_std,accuracy_minus_majority_mean,roc_auc_mean,f1_mean,brier_score_mean,long_flat_sharpe_net_mean,long_short_sharpe_net_mean,long_flat_annualized_return_net_mean,long_short_annualized_return_net_mean
60,20,ohlc_ma_vb,0.6030534351145038,,0.0617626648160999,0.61694984289538,0.657074340527578,0.2587921191308433,3.934229311046993,3.1353916212720123,9.100435241456466,9.071958250555085
60,20,ohlc_vb,0.5947258848022207,,0.0534351145038167,0.5828174095193762,0.7002053388090349,0.249218426871333,3.774682273473761,3.689024395248564,9.874786092981706,10.620659953605555
60,20,ohlc_ma,0.5711311589174185,,0.0298403886190146,0.5608111253345747,0.6856561546286877,0.2651916258220724,3.563484549255,3.1630900967065165,9.139421204985094,9.14993017761234
60,20,ohlc,0.5419847328244275,,0.0006939625260236,0.5441279723806199,0.6955719557195572,0.2547621153362169,3.1575879115336694,3.054083544504213,8.985735222661527,8.842558212965198
60,60,ohlc_ma_vb,0.5203426124197003,,-0.0228408279800141,0.5440518232588699,0.5519999999999999,0.2531224857539641,3.6072923661980623,0.1307346944578191,13.688047808117568,0.7127512793529291
20,20,ohlc_ma_vb,0.5405968077723803,,-0.0006939625260236,0.5378476667054579,0.6608606557377049,0.247494078389017,3.3543063901938446,2.8698416171323338,8.725507874476998,8.321596923952148
5,5,ohlc_ma_vb,0.5233516483516484,,-0.0027472527472527,0.5321546145987058,0.5428194993412385,0.2495547716734463,0.8768180915630044,-0.4370388496701253,0.8482233844851024,-0.6053113431823539
20,20,ohlc_vb,0.5454545454545454,,0.0041637751561415,0.5309146980100081,0.6604458268532918,0.2476671135842191,3.2430232664426737,2.566153927141125,8.293399359183823,7.457379893365798
5,60,ohlc_ma_vb,0.516773733047823,,-0.0264097073518914,0.5272339027595269,0.5301873698820264,0.2498888990084672,3.7457847787689,0.2929834952639582,14.130249992431784,1.5971556479813689
5,5,ohlc_vb,0.5240384615384616,,-0.0020604395604395,0.5266186097551746,0.5449770190413656,0.2496021224493204,1.034203423573817,-0.2231811878554178,0.9963344251581626,-0.3090892618362342
60,60,ohlc_vb,0.5367594575303355,,-0.0064239828693789,0.5247269218134034,0.6297775242441529,0.255419732895814,4.431972821877192,2.5388808591026883,20.191900604870064,13.720977929246224
5,60,ohlc_ma,0.5160599571734475,,-0.0271234832262668,0.5233584510512483,0.5725094577553593,0.2494406929487754,3.835461814685391,0.8961662457377079,15.771862129167197,4.88037992145218
60,60,ohlc_ma,0.5403283369022127,,-0.0028551034975017,0.523024802890933,0.6796019900497513,0.2686124214870918,4.577524754833946,3.5108858820680373,22.74397991744797,18.82513655440203
20,60,ohlc_ma_vb,0.4939329050678087,,-0.0492505353319057,0.5221018807490144,0.367528991971454,0.2505843321644321,3.1573626419118352,-1.7975906100485957,8.452991552828765,-9.757361231224666
20,5,ohlc_ma,0.5226648351648352,,-0.0034340659340659,0.5208385363454043,0.6183415705656232,0.2490838175033098,1.6061295120914738,1.086324686377182,1.901549852891528,1.5018429672568705
60,5,ohlc_ma,0.5260989010989011,,0.0,0.519181140500246,0.6894689468946895,0.2524705650784186,1.6679731839957666,1.6679731839957666,2.301256738526185,2.301256738526185
5,60,ohlc,0.5182012847965739,,-0.0249821556031405,0.5140583935611038,0.5768025078369906,0.2500244086972059,3.877228066838581,0.937314440128338,15.883616478093623,5.10388861930505
20,5,ohlc_ma_vb,0.5151098901098901,,-0.010989010989011,0.5138390661066333,0.624468085106383,0.2494787040674579,1.6227147802636297,1.1716434128764035,1.9608040063075496,1.6198499004625408
20,5,ohlc_vb,0.5171703296703297,,-0.0089285714285713,0.5134880992923905,0.6143719144267691,0.2497399113729737,1.57585049615834,0.9986216928500916,1.8414996708117173,1.3812412294708754
5,60,ohlc_vb,0.5010706638115632,,-0.0421127765881512,0.5108902759526938,0.5195876288659793,0.2506997956698188,3.6925010879011193,0.2887253954275879,14.118640350703789,1.5739363645253708
